USUARIO,DATA,ORIGEM
Cliente_37,15/02/2018 13:30,12
Cliente_37,15/02/2018 13:49,12
Cliente_37,15/02/2018 13:49,12
Cliente_37,15/02/2018 13:54,12
Cliente_37,15/02/2018 14:14,12
Cliente_37,15/02/2018 14:17,12
Cliente_37,15/02/2018 14:20,12
Cliente_39,15/02/2018 14:53,12
Cliente_39,15/02/2018 14:58,12
Cliente_37,16/02/2018 13:09,12
Cliente_37,16/02/2018 13:13,12
Cliente_37,16/02/2018 13:16,12
Cliente_37,16/02/2018 15:06,12
Cliente_37,16/02/2018 15:10,12
Cliente_21,16/02/2018 15:44,12
Cliente_37,16/02/2018 16:18,12
Cliente_37,16/02/2018 16:23,12
Cliente_44,16/02/2018 16:59,12
Cliente_44,19/02/2018 09:34,12
Cliente_44,19/02/2018 09:42,12
Cliente_11,19/02/2018 09:57,12
Cliente_39,19/02/2018 10:14,12
Cliente_39,19/02/2018 10:19,12
Cliente_39,19/02/2018 10:39,12
Cliente_39,19/02/2018 10:50,12
Cliente_11,19/02/2018 10:57,12
Cliente_11,19/02/2018 10:58,12
Cliente_11,19/02/2018 11:02,12
Cliente_37,19/02/2018 11:14,12
Cliente_37,19/02/2018 11:17,12
Cliente_37,19/02/2018 11:19,12
Cliente_29,19/02/2018 11:21,12
Cliente_37,19/02/2018 11:21,12
Cliente_37,19/02/2018 11:24,12
Cliente_37,19/02/2018 11:25,12
Cliente_44,19/02/2018 11:26,12
Cliente_44,19/02/2018 11:27,12
Cliente_37,19/02/2018 11:35,12
Cliente_37,19/02/2018 11:37,12
Cliente_37,19/02/2018 11:38,12
Cliente_37,19/02/2018 11:40,12
Cliente_37,19/02/2018 11:41,12
Cliente_37,19/02/2018 11:43,12
Cliente_37,19/02/2018 11:44,12
Cliente_37,19/02/2018 11:46,12
Cliente_44,19/02/2018 11:47,12
Cliente_44,19/02/2018 11:50,12
Cliente_44,19/02/2018 11:51,12
Cliente_21,19/02/2018 11:52,12
Cliente_21,19/02/2018 11:55,12
Cliente_37,19/02/2018 12:23,12
Cliente_37,19/02/2018 12:24,12
Cliente_37,19/02/2018 12:25,12
Cliente_37,19/02/2018 12:26,12
Cliente_37,19/02/2018 14:14,12
Cliente_37,19/02/2018 14:18,12
Cliente_37,19/02/2018 14:29,12
Cliente_15,19/02/2018 15:45,12
Cliente_15,19/02/2018 15:53,12
Cliente_15,19/02/2018 16:01,12
Cliente_15,19/02/2018 16:07,12
Cliente_15,19/02/2018 16:38,12
Cliente_40,19/02/2018 16:56,12
Cliente_40,19/02/2018 17:00,12
Cliente_40,19/02/2018 17:04,12
Cliente_40,19/02/2018 17:14,12
Cliente_45,20/02/2018 11:30,12
Cliente_45,20/02/2018 11:33,12
Cliente_45,20/02/2018 11:34,12
Cliente_37,20/02/2018 13:28,12
Cliente_37,20/02/2018 13:39,12
Cliente_40,21/02/2018 10:19,12
Cliente_40,21/02/2018 10:48,12
Cliente_40,21/02/2018 11:02,12
Cliente_40,21/02/2018 11:20,12
Cliente_40,21/02/2018 11:21,12
Cliente_37,21/02/2018 14:27,12
Cliente_37,21/02/2018 15:39,12
Cliente_37,21/02/2018 15:41,12
Cliente_37,21/02/2018 15:43,12
Cliente_37,21/02/2018 15:44,12
Cliente_37,21/02/2018 15:46,12
Cliente_37,21/02/2018 16:35,12
Cliente_13,22/02/2018 10:23,12
Cliente_37,23/02/2018 11:16,12
Cliente_39,23/02/2018 12:58,12
Cliente_31,26/02/2018 16:28,12
Cliente_44,26/02/2018 17:48,12
Cliente_27,27/02/2018 08:46,12
Cliente_37,27/02/2018 11:14,12
Cliente_37,27/02/2018 11:22,12
Cliente_37,27/02/2018 11:26,12
Cliente_37,27/02/2018 11:32,12
Cliente_37,27/02/2018 13:06,12
Cliente_44,27/02/2018 13:17,12
Cliente_44,27/02/2018 13:21,12
Cliente_45,27/02/2018 15:37,12
Cliente_45,27/02/2018 15:38,12
Cliente_44,27/02/2018 18:41,12
Cliente_04,28/02/2018 09:17,12
Cliente_37,28/02/2018 09:29,12
Cliente_37,28/02/2018 09:49,12
Cliente_44,28/02/2018 11:40,12
Cliente_13,28/02/2018 12:55,14
Cliente_13,28/02/2018 13:02,14
Cliente_13,28/02/2018 13:02,14
Cliente_11,28/02/2018 13:06,12
Cliente_13,28/02/2018 13:08,12
Cliente_13,28/02/2018 13:16,14
Cliente_13,28/02/2018 13:17,14
Cliente_13,28/02/2018 13:19,12
Cliente_13,28/02/2018 13:20,14
Cliente_39,28/02/2018 13:24,12
Cliente_13,01/03/2018 10:56,12
Cliente_13,01/03/2018 11:06,12
Cliente_13,01/03/2018 15:24,14
Cliente_37,02/03/2018 08:02,12
Cliente_39,02/03/2018 09:17,12
Cliente_41,02/03/2018 09:57,12
Cliente_44,02/03/2018 10:26,12
Cliente_44,02/03/2018 10:26,12
Cliente_45,02/03/2018 10:43,12
Cliente_45,02/03/2018 10:43,12
Cliente_45,02/03/2018 10:56,12
Cliente_20,02/03/2018 11:28,12
Cliente_13,02/03/2018 12:07,14
Cliente_13,02/03/2018 16:11,14
Cliente_12,05/03/2018 08:45,12
Cliente_13,05/03/2018 10:25,14
Cliente_13,05/03/2018 10:56,14
Cliente_13,05/03/2018 13:38,12
Cliente_13,05/03/2018 13:51,12
Cliente_13,05/03/2018 14:01,12
Cliente_13,05/03/2018 14:02,12
Cliente_13,05/03/2018 14:03,12
Cliente_13,05/03/2018 14:07,12
Cliente_13,06/03/2018 08:00,14
Cliente_13,06/03/2018 08:01,14
Cliente_13,06/03/2018 08:10,14
Cliente_44,06/03/2018 09:07,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:09,12
Cliente_44,06/03/2018 09:11,12
Cliente_44,06/03/2018 09:14,12
Cliente_45,06/03/2018 10:08,12
Cliente_18,06/03/2018 10:19,12
Cliente_37,06/03/2018 10:19,12
Cliente_18,06/03/2018 10:20,12
Cliente_37,06/03/2018 10:23,12
Cliente_18,06/03/2018 10:26,12
Cliente_37,06/03/2018 10:26,12
Cliente_18,06/03/2018 10:28,12
Cliente_37,06/03/2018 10:28,12
Cliente_18,06/03/2018 10:29,12
Cliente_44,06/03/2018 10:35,12
Cliente_44,06/03/2018 10:35,12
Cliente_44,06/03/2018 10:36,12
Cliente_44,06/03/2018 10:36,12
Cliente_44,06/03/2018 10:36,12
Cliente_44,06/03/2018 10:39,12
Cliente_44,06/03/2018 10:40,12
Cliente_39,06/03/2018 10:46,12
Cliente_39,06/03/2018 10:47,12
Cliente_39,06/03/2018 10:49,12
Cliente_39,06/03/2018 10:52,12
Cliente_39,06/03/2018 10:53,12
Cliente_39,06/03/2018 10:53,12
Cliente_39,06/03/2018 10:54,12
Cliente_37,06/03/2018 11:19,12
Cliente_37,06/03/2018 11:19,12
Cliente_18,06/03/2018 11:36,12
Cliente_18,06/03/2018 11:37,12
Cliente_18,06/03/2018 11:39,12
Cliente_18,06/03/2018 11:40,12
Cliente_18,06/03/2018 11:40,12
Cliente_37,06/03/2018 14:15,12
Cliente_37,06/03/2018 14:17,12
Cliente_37,06/03/2018 14:28,12
Cliente_37,06/03/2018 14:33,12
Cliente_37,06/03/2018 14:34,12
Cliente_37,06/03/2018 15:26,12
Cliente_37,06/03/2018 15:36,12
Cliente_37,06/03/2018 15:39,12
Cliente_37,06/03/2018 15:39,12
Cliente_35,06/03/2018 16:23,12
Cliente_35,06/03/2018 16:23,12
Cliente_35,06/03/2018 16:24,12
Cliente_35,06/03/2018 16:24,12
Cliente_35,06/03/2018 16:24,12
Cliente_37,07/03/2018 09:15,12
Cliente_37,07/03/2018 09:16,12
Cliente_18,07/03/2018 09:44,12
Cliente_22,07/03/2018 12:46,12
Cliente_18,07/03/2018 13:17,12
Cliente_40,08/03/2018 11:26,12
Cliente_40,08/03/2018 11:30,12
Cliente_41,08/03/2018 13:32,12
Cliente_41,08/03/2018 13:34,12
Cliente_40,08/03/2018 13:38,12
Cliente_18,08/03/2018 16:48,12
Cliente_22,08/03/2018 16:56,12
Cliente_22,08/03/2018 17:31,12
