CLIENTE,DATA,PRODUTO,QUANTIDADE
Cliente_37,15/02/2018 13:30,1000088,4000
Cliente_37,15/02/2018 13:49,1000088,1222
Cliente_37,15/02/2018 13:49,1000088,6000
Cliente_37,15/02/2018 13:54,1000088,6000
Cliente_37,15/02/2018 14:14,1000088,8000
Cliente_37,15/02/2018 14:17,1000088,8000
Cliente_37,15/02/2018 14:20,1000088,8000
Cliente_39,15/02/2018 14:53,1000078,5000
Cliente_39,15/02/2018 14:58,1000078,5000
Cliente_37,16/02/2018 13:09,1000088,5000
Cliente_37,16/02/2018 13:13,1000088,5000
Cliente_37,16/02/2018 13:16,1000088,5000
Cliente_37,16/02/2018 15:06,1000118,10000
Cliente_37,16/02/2018 15:10,1000118,10000
Cliente_21,16/02/2018 15:44,1000118,10000
Cliente_37,16/02/2018 16:18,1000118,10000
Cliente_37,16/02/2018 16:23,1000118,10000
Cliente_44,16/02/2018 16:59,1000209,5000
Cliente_44,19/02/2018 09:34,1000088,5000
Cliente_44,19/02/2018 09:42,1000088,5000
Cliente_11,19/02/2018 09:57,1000209,5000
Cliente_39,19/02/2018 10:14,1000088,5000
Cliente_39,19/02/2018 10:19,1000088,5000
Cliente_39,19/02/2018 10:39,1000088,5000
Cliente_39,19/02/2018 10:50,1000088,5000
Cliente_11,19/02/2018 10:57,1000078,5000
Cliente_11,19/02/2018 10:58,1000088,5000
Cliente_11,19/02/2018 11:02,1000078,5000
Cliente_37,19/02/2018 11:14,1000118,10000
Cliente_37,19/02/2018 11:17,1000118,10000
Cliente_37,19/02/2018 11:19,1000088,5000
Cliente_29,19/02/2018 11:21,1000209,5000
Cliente_37,19/02/2018 11:21,1000088,5000
Cliente_37,19/02/2018 11:24,1000088,10000
Cliente_37,19/02/2018 11:25,1000118,3000
Cliente_44,19/02/2018 11:26,1000078,7000
Cliente_44,19/02/2018 11:27,1000078,7000
Cliente_37,19/02/2018 11:35,1000118,10000
Cliente_37,19/02/2018 11:37,1000118,5000
Cliente_37,19/02/2018 11:38,1000118,5000
Cliente_37,19/02/2018 11:40,1000088,7400
Cliente_37,19/02/2018 11:41,1000088,7400
Cliente_37,19/02/2018 11:43,1000118,7400
Cliente_37,19/02/2018 11:44,1000118,45200
Cliente_37,19/02/2018 11:46,1000118,4520
Cliente_44,19/02/2018 11:47,1000118,5000
Cliente_44,19/02/2018 11:50,1000118,6000
Cliente_44,19/02/2018 11:51,1000118,6000
Cliente_21,19/02/2018 11:52,1000088,10000
Cliente_21,19/02/2018 11:55,1000088,1400
Cliente_37,19/02/2018 12:23,1000118,17500
Cliente_37,19/02/2018 12:24,1000118,41500
Cliente_37,19/02/2018 12:25,1000118,3501
Cliente_37,19/02/2018 12:26,1000118,74150
Cliente_37,19/02/2018 14:14,1000118,15236
Cliente_37,19/02/2018 14:18,1000118,12500
Cliente_37,19/02/2018 14:29,1000118,12500
Cliente_15,19/02/2018 15:45,1002079,10
Cliente_15,19/02/2018 15:53,1002079,10
Cliente_15,19/02/2018 16:01,1002333,1
Cliente_15,19/02/2018 16:07,1002333,10
Cliente_15,19/02/2018 16:38,1000303,10
Cliente_40,19/02/2018 16:56,1000228,15
Cliente_40,19/02/2018 17:00,1000228,10
Cliente_40,19/02/2018 17:04,1000316,15
Cliente_40,19/02/2018 17:14,1000345,10
Cliente_45,20/02/2018 11:30,1000088,5000
Cliente_45,20/02/2018 11:33,1000088,5000
Cliente_45,20/02/2018 11:34,1000088,5000
Cliente_37,20/02/2018 13:28,1000118,10000
Cliente_37,20/02/2018 13:39,1000118,5500
Cliente_40,21/02/2018 10:19,1001114,10
Cliente_40,21/02/2018 10:48,1001917,100
Cliente_40,21/02/2018 11:02,1001917,100
Cliente_40,21/02/2018 11:20,1000316,10
Cliente_40,21/02/2018 11:21,1000314,14
Cliente_37,21/02/2018 14:27,1000118,12500
Cliente_37,21/02/2018 15:39,1000118,5000
Cliente_37,21/02/2018 15:41,1000118,5000
Cliente_37,21/02/2018 15:43,1000118,6000
Cliente_37,21/02/2018 15:44,1000118,7000
Cliente_37,21/02/2018 15:46,1000118,8000
Cliente_37,21/02/2018 16:35,1000118,9600
Cliente_13,22/02/2018 10:23,1000209,5000
Cliente_13,22/02/2018 10:23,1000088,5000
Cliente_13,22/02/2018 10:23,1000078,10000
Cliente_37,23/02/2018 11:16,1000118,5
Cliente_39,23/02/2018 12:58,1000088,15000
Cliente_31,26/02/2018 16:28,1000078,5000
Cliente_44,26/02/2018 17:48,1000078,5000
Cliente_27,27/02/2018 08:46,1000345,3
Cliente_27,27/02/2018 08:46,1000250,3
Cliente_27,27/02/2018 08:46,1000246,3
Cliente_27,27/02/2018 08:46,1000249,3
Cliente_37,27/02/2018 11:14,1000078,5000
Cliente_37,27/02/2018 11:22,1000118,5000
Cliente_37,27/02/2018 11:26,1000078,5000
Cliente_37,27/02/2018 11:32,1000118,5000
Cliente_37,27/02/2018 13:06,1000118,5000
Cliente_44,27/02/2018 13:17,1000118,5000
Cliente_44,27/02/2018 13:21,1000078,5000
Cliente_45,27/02/2018 15:37,1000088,5000
Cliente_45,27/02/2018 15:38,1000118,5000
Cliente_44,27/02/2018 18:41,1000209,5000
Cliente_04,28/02/2018 09:17,1000118,5000
Cliente_37,28/02/2018 09:29,1000088,10
Cliente_37,28/02/2018 09:49,1000118,5
Cliente_44,28/02/2018 11:40,1000078,5000
Cliente_13,28/02/2018 12:55,1000078,5000
Cliente_13,28/02/2018 12:55,1000209,10000
Cliente_13,28/02/2018 13:02,1000209,5000
Cliente_13,28/02/2018 13:02,1000209,5000
Cliente_11,28/02/2018 13:06,1000209,5000
Cliente_13,28/02/2018 13:08,1000209,5000
Cliente_13,28/02/2018 13:16,1000209,5000
Cliente_13,28/02/2018 13:17,1000209,5000
Cliente_13,28/02/2018 13:19,1000209,5000
Cliente_13,28/02/2018 13:20,1000209,5000
Cliente_39,28/02/2018 13:24,1000078,5000
Cliente_13,01/03/2018 10:56,1000209,5000
Cliente_13,01/03/2018 10:56,1000078,5000
Cliente_13,01/03/2018 11:06,1000209,5000
Cliente_13,01/03/2018 11:06,1000088,5000
Cliente_13,01/03/2018 11:06,1000078,5000
Cliente_13,01/03/2018 15:24,1000088,5000
Cliente_13,01/03/2018 15:24,1000078,5000
Cliente_13,01/03/2018 15:24,1000209,5000
Cliente_37,02/03/2018 08:02,1000088,1
Cliente_37,02/03/2018 08:02,1000078,2
Cliente_39,02/03/2018 09:17,1000078,5000
Cliente_41,02/03/2018 09:57,1001114,2
Cliente_44,02/03/2018 10:26,1000088,0
Cliente_44,02/03/2018 10:26,1000078,5000
Cliente_45,02/03/2018 10:43,1000088,10000
Cliente_45,02/03/2018 10:43,1000088,10000
Cliente_45,02/03/2018 10:56,1000078,10000
Cliente_20,02/03/2018 11:28,1000314,1
Cliente_13,02/03/2018 12:07,1000078,5000
Cliente_13,02/03/2018 12:07,1000209,10000
Cliente_13,02/03/2018 16:11,1000078,5000
Cliente_13,02/03/2018 16:11,1000209,10000
Cliente_12,05/03/2018 08:45,1000088,5000
Cliente_12,05/03/2018 08:45,1000078,5000
Cliente_13,05/03/2018 10:25,1000088,5000
Cliente_13,05/03/2018 10:25,1000078,5000
Cliente_13,05/03/2018 10:25,1000209,5000
Cliente_13,05/03/2018 10:56,1000088,5000
Cliente_13,05/03/2018 10:56,1000209,5000
Cliente_13,05/03/2018 10:56,1000078,5000
Cliente_13,05/03/2018 13:38,1000209,5000
Cliente_13,05/03/2018 13:51,1000209,5000
Cliente_13,05/03/2018 14:01,1000209,10000
Cliente_13,05/03/2018 14:02,1000209,10000
Cliente_13,05/03/2018 14:03,1000209,10000
Cliente_13,05/03/2018 14:07,1000209,10000
Cliente_13,06/03/2018 08:00,1000078,5000
Cliente_13,06/03/2018 08:00,1000209,10000
Cliente_13,06/03/2018 08:01,1000078,10000
Cliente_13,06/03/2018 08:01,1000209,5000
Cliente_13,06/03/2018 08:10,1000078,10000
Cliente_13,06/03/2018 08:10,1000209,5000
Cliente_44,06/03/2018 09:07,1000209,5000
Cliente_44,06/03/2018 09:09,1000209,0
Cliente_44,06/03/2018 09:09,1000078,0
Cliente_44,06/03/2018 09:09,1000088,0
Cliente_44,06/03/2018 09:09,1000088,0
Cliente_44,06/03/2018 09:09,1000088,0
Cliente_44,06/03/2018 09:09,1000088,0
Cliente_44,06/03/2018 09:09,1000088,0
Cliente_44,06/03/2018 09:09,1000209,0
Cliente_44,06/03/2018 09:09,1000078,0
Cliente_44,06/03/2018 09:09,1000209,0
Cliente_44,06/03/2018 09:09,1000078,0
Cliente_44,06/03/2018 09:09,1000209,0
Cliente_44,06/03/2018 09:09,1000078,0
Cliente_44,06/03/2018 09:09,1000209,0
Cliente_44,06/03/2018 09:09,1000078,0
Cliente_44,06/03/2018 09:11,1000078,35000
Cliente_44,06/03/2018 09:14,1000078,35000
Cliente_45,06/03/2018 10:08,1000088,5000
Cliente_18,06/03/2018 10:19,1000078,5000
Cliente_37,06/03/2018 10:19,1000088,100
Cliente_18,06/03/2018 10:20,1000078,5000
Cliente_37,06/03/2018 10:23,1000088,200
Cliente_18,06/03/2018 10:26,1000088,10000
Cliente_37,06/03/2018 10:26,1000088,300
Cliente_18,06/03/2018 10:28,1000209,5000
Cliente_37,06/03/2018 10:28,1000088,300
Cliente_18,06/03/2018 10:29,1000209,5000
Cliente_44,06/03/2018 10:35,1000088,10000
Cliente_44,06/03/2018 10:35,1000209,15000
Cliente_44,06/03/2018 10:35,1000078,175000
Cliente_44,06/03/2018 10:36,1000209,45000
Cliente_44,06/03/2018 10:36,1000088,17000
Cliente_44,06/03/2018 10:36,1000209,17000
Cliente_44,06/03/2018 10:36,1000078,45000
Cliente_44,06/03/2018 10:39,1000209,17000
Cliente_44,06/03/2018 10:39,1000078,45000
Cliente_44,06/03/2018 10:40,1000209,17000
Cliente_44,06/03/2018 10:40,1000078,45000
Cliente_39,06/03/2018 10:46,1000088,45000
Cliente_39,06/03/2018 10:46,1000078,45000
Cliente_39,06/03/2018 10:47,1000088,45000
Cliente_39,06/03/2018 10:47,1000078,45000
Cliente_39,06/03/2018 10:49,1000088,45000
