LOCP_CHV_IDE;LOCP_COD_USUARIO;LOCP_DAT_INCLUSAO;LOCP_DSC_OPERACAO;LOCP_COD_SISTEMA;LOCP_NOM_TABELA;LOCP_CHV_IDE_TABELA;LOCP_TXT_REGISTRADO;LOCP_COD_CASO_USO;LOCP_COD_NIVEL;LOCP_END_IP_REQ
254694;Cliente_37;15/02/2018 13:30;1-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12||Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=4000|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254698;Cliente_37;15/02/2018 13:30;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;1-0210050048-S-VBAKKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254697;Cliente_37;15/02/2018 13:30;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;1-0210050048-S-VBAPKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254696;Cliente_37;15/02/2018 13:30;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;1-0210050048-S-Venda Produtos 210050048 foi gravado(a);ENVIAR PEDIDO;900;unknow
254695;Cliente_37;15/02/2018 13:30;1-INCLUSAO-Fim chamada Ws-client -> Process Server - 9.700 (ms) de duração;ABC;;;Tip=null|Num=0210050048|Orig=12||Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=4000|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254699;Cliente_37;15/02/2018 13:30;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;1-0210050048-A-Verificação dinâmica de crédito: limite de crédito foi excedido 446.276,36 BRL;ENVIAR PEDIDO;900;unknow
254700;Cliente_37;15/02/2018 13:30;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;1-0210050048-A-Item 10 - 01.000.088 - XXXXXX;ENVIAR PEDIDO;900;unknow
254701;Cliente_37;15/02/2018 13:30;Envio de Email do SCP;ABC;;;Notificação da OV '0210050048' foi enviada para o email 'XXXXXXXXXX, XXXXXXXXXXXX.;NOTIFICAR PEDIDO;800;unknow
254703;Cliente_37;15/02/2018 13:31;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_37|Rec=Cliente_37|OVs=0210050048;ENVIAR PEDIDO;800;unknow
254705;Cliente_37;15/02/2018 13:32;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_37|Rec=Cliente_37|OVs=0210050048;ENVIAR PEDIDO;800;unknow
254715;Cliente_37;15/02/2018 13:40;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_37|Rec=Cliente_37|OVs=0210050049;ENVIAR PEDIDO;800;unknow
254716;Cliente_37;15/02/2018 13:49;4-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12||Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=1222|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254719;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;4-0210050050-S-VBAPKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254720;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;4-0210050050-S-VBAKKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254721;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;4-0210050050-A-Verificação dinâmica de crédito: limite de crédito foi excedido 441.300,68 BRL;ENVIAR PEDIDO;900;unknow
254723;Cliente_37;15/02/2018 13:49;Envio de Email do SCP;ABC;;;Notificação da OV '0210050050' foi enviada para o email 'XXXXXXXXXX, XXXXXXXXXX'.;NOTIFICAR PEDIDO;800;unknow
254718;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;4-0210050050-S-Venda Produtos 210050050 foi gravado(a);ENVIAR PEDIDO;900;unknow
254722;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;4-0210050050-A-Item 10 - 01.000.088 - XXXXXX;ENVIAR PEDIDO;900;unknow
254717;Cliente_37;15/02/2018 13:49;4-INCLUSAO-Fim chamada Ws-client -> Process Server - 5.997 (ms) de duração;ABC;;;Tip=null|Num=0210050050|Orig=12||Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=1222|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254724;Cliente_37;15/02/2018 13:49;5-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12||Ems=00000Cliente_37|Rec=00000Cliente_37|DtE=16/02/2018|TOV=Z700|Its=1#Pos=10#Prd=000000000001000088|Qtd=6000|DtE=16/02/2018|Bas=5096|Prz=Z005|Mod=Z10|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254731;Cliente_37;15/02/2018 13:49;Envio de Email do SCP;ABC;;;Notificação da OV '0210050051' foi enviada para o email 'XXXXXXXXXX, XXXXXXXXXX'.;NOTIFICAR PEDIDO;800;unknow
254730;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;5-0210050051-A-Item 10 - 01.000.088 - XXXXXX;ENVIAR PEDIDO;900;unknow
254729;Cliente_37;15/02/2018 13:49;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;5-0210050051-A-Verificação dinâmica de crédito: limite de crédito foi excedido 449.858,56 BRL;ENVIAR PEDIDO;900;unknow
